,forecast,error,forecast_lower,forecast_upper
0,132.88764008669318,1.5966133907178914,131.27562306667852,134.4688498481143
1,132.94378659421375,2.256786987191205,130.65623652511567,135.16981049949808
2,133.07454257840502,2.760070089849208,130.26850291091324,135.78864309061166
3,133.2031973401367,3.182617365339496,129.9595155985324,136.32475032921138
4,133.0760108375377,3.564326431393823,129.435019310881,136.56367217366864
5,133.2155847372888,3.898567829079738,129.22539359172004,137.0225292498795
6,133.26902418281927,4.208892493127777,128.9533822122542,137.37116719850977
7,133.26890179795018,4.500227302219201,128.64663287719952,137.64708748163793
8,133.52490581390214,4.7592223910120595,128.62944945734992,138.14789423937404
9,133.37570139517493,5.026526698798563,128.19703451263067,138.2500879102278
10,133.45654790662033,5.267555762870728,128.02200950950353,138.557121035245
11,133.50496367456196,5.499441176953582,127.82357715365117,138.82245950755834
12,133.6512495060084,5.785703295530453,127.6643818032926,139.2357883943535
13,133.70688201569632,6.063415158722755,127.42261369190662,139.54944400935213
14,133.83644314729122,6.32280823701749,127.27370802608762,139.9193245001226
15,133.96392520423726,6.570787990574878,127.13426184238376,140.27583782353352
16,133.83789800658315,6.829391242167382,126.72858258333945,140.3873650676742
17,133.97619984255394,7.0575945602839525,126.61996283659117,140.73515195715908
18,134.02915315383297,7.284867860545738,126.42621685110858,140.99595257220005
19,134.02903188171558,7.509709968751544,126.18130765614355,141.20072759364663
20,134.28271399050226,7.704465189831865,126.22313989162328,141.632070271287
21,134.13486143195416,7.930637276502239,125.82753477967347,141.68880933267795
22,134.21497495401135,8.129726152016453,125.68963623790331,141.94908854193622
23,134.26295231082722,8.326701309658318,125.52137379063942,142.17477640995605
24,134.4079159888801,8.562822312838605,125.4068138290705,142.5324584547477
25,134.46304666106866,8.800795298083472,125.19944766728372,142.80103826345066
26,134.59144115794868,9.024097774362154,125.08120636884568,143.12940191757
27,134.71777813653668,9.241089528716685,124.96735478652619,143.44953384395956
28,134.5928829334542,9.480874664780643,124.57538304429261,143.5371323738539
29,134.72994266880693,9.685473364223924,124.48498717448228,143.85593390293013
30,134.78242127556933,9.894848992125816,124.30384910823634,144.09354709248797
31,134.7823010900545,10.106036264973952,124.06733879985424,144.27941132980214
32,135.03371572291388,10.281616635424541,124.12298887327128,144.68622214412036
33,134.88718336584517,10.50288281230295,123.72708430827173,144.73284993287763
34,134.96658107526224,10.691833312569266,123.59405253636531,144.97771916150384
35,135.01413028198215,10.881187001069684,123.428151252499,145.19052525463837
36,135.15780269452122,11.10056470271023,123.32449519878429,145.52562460420475
37,135.21244323056655,11.326702864904966,123.12311885485902,145.77652458466895
38,135.33969824743204,11.537885316471964,123.0112056587971,146.08697629174102
39,135.46491673572712,11.744509152922632,122.90195928489106,146.39097759073633
40,135.34112724331212,11.982898914628272,122.50540025000474,146.47119807926128
41,135.47697371516475,12.179601729653335,122.41716946555074,146.7763729248574
42,135.5289886183832,12.384775552769767,122.23442149636858,147.00397260190812
43,135.52886949430217,12.594374206461708,121.99361126737551,147.18235968029893
44,135.7780690465042,12.761826832030884,122.05191913780395,147.57557280186572
45,135.63282641520092,12.987643543986898,121.64531584762749,147.62060293560128
46,135.7115248464744,13.175190651905403,121.50794248747106,147.85832379128186
47,135.75865578092532,13.364783687524081,121.33599896051061,148.06556633555877
48,135.90106666440832,13.577693687224922,121.23262713140119,148.38801450585103
49,135.95522833029395,13.801054291344705,121.02764569086695,148.62975427355636
50,136.08137001324764,14.008222129439197,120.9135747829885,148.9300190418669
51,136.2054956141339,14.211727395482598,120.80129944496588,149.22475423593107
52,136.08278652237976,14.455191740143796,120.39274014543663,149.30312362572423
53,136.2174474994707,14.649893580384465,120.30041502479396,149.6002021855629
54,136.26900929327348,14.856199814430916,120.11016710763487,149.8225667364967
55,136.2688912063879,15.0690701930395,119.85951722714289,149.9976576132219
56,136.51592614101378,15.232799890321253,119.91597587290237,150.38157565354487
57,136.3719438825072,15.467266710755396,119.49354858878789,150.42808201029868
58,136.44995896060777,15.657138682978207,119.34760125019655,150.66187861615296
59,136.49668113691632,15.850414707449346,119.1655900642593,150.866419479158
60,136.63785913487393,16.061468490222502,119.05752276865125,151.18045974909626
61,136.6915527832875,16.2862727209989,118.844130536881,151.4166759788788
62,136.81660632089097,16.493232587147844,118.72368575412827,151.71015092842396
63,136.9396637018245,16.697090651175387,118.60449526024973,151.9986765626005
64,136.81801062543963,16.94898361863057,118.1795420919883,152.07750932924944
65,136.95151286207562,17.144599837846627,118.07981404766281,152.36901372335606
66,137.002631754254,17.354787358757747,117.87870937272274,152.58828409023823
67,137.00251468120896,17.573522567336546,117.61487955709266,152.76192469176576
68,137.24743362627157,17.735708257056444,117.6672098532531,153.138626367366
69,137.10468345395918,17.981218070804992,117.22542826011671,153.1878644017267
70,137.18203052495826,18.175444692014693,117.06832461203928,153.41921399606866
71,137.22835311180387,18.374334353862587,116.87367462795599,153.62234333568117
72,137.36832582959374,18.586087301049623,116.75794869214242,153.93012329424167
73,137.42156192059454,18.814791082683286,116.53303775860337,154.16261992396994
74,137.5455515916708,19.02373035191839,116.40357654555913,154.4510372493959
75,137.66756453126933,19.229966422870064,116.27498416496417,154.7349170107043
76,137.5469439636217,19.492509140267792,115.83024742602943,154.81526570656501
77,137.67931325019606,19.690780479902642,115.72093731602337,155.10249827582865
78,137.7299990814104,19.90659334604927,115.50654971588513,155.31973640798367
79,137.72988299969055,20.132916259906516,115.2269761349528,155.49280865476584
80,137.97273283910852,20.294798141768183,115.27383089368155,155.86342717721791
