,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2966,2021-05-15,125.70854020315544,119.79212476517988,134.70461558884472,125.70854020315544,125.70854465083424,1.7658925700709895,1.7658925700709895,1.7658925700709895,1.5570160882605333,1.5570160882605333,1.5570160882605333,0.2088764818104564,0.2088764818104564,0.2088764818104564,0.0,0.0,0.0,127.47443277322643
2967,2021-05-16,125.71339609668065,120.03900052154707,134.55651340702406,125.71339609668065,125.73621441525516,1.6674566051676527,1.6674566051676527,1.6674566051676527,1.5570163576385307,1.5570163576385307,1.5570163576385307,0.11044024752912203,0.11044024752912203,0.11044024752912203,0.0,0.0,0.0,127.38085270184831
2968,2021-05-17,125.71825199020586,118.09382776544686,133.07678403922293,125.69487122906249,125.76004438987049,-0.6262554641964849,-0.6262554641964849,-0.6262554641964849,-0.6427764213407178,-0.6427764213407178,-0.6427764213407178,0.0165209571442329,0.0165209571442329,0.0165209571442329,0.0,0.0,0.0,125.09199652600937
2969,2021-05-18,125.72310788373106,117.72159132989196,132.59745849044998,125.66674991078457,125.78387344172825,-0.7108185168585297,-0.7108185168585297,-0.7108185168585297,-0.6388142251989336,-0.6388142251989336,-0.6388142251989336,-0.07200429165959613,-0.07200429165959613,-0.07200429165959613,0.0,0.0,0.0,125.01228936687254
2970,2021-05-19,125.72796377725628,117.77272764128749,133.00679482796602,125.62998918335725,125.80758755672072,-0.7733112820730997,-0.7733112820730997,-0.7733112820730997,-0.6189249890843203,-0.6189249890843203,-0.6189249890843203,-0.15438629298877954,-0.15438629298877954,-0.15438629298877954,0.0,0.0,0.0,124.95465249518318
2971,2021-05-20,125.73281967078148,117.67074468271834,132.55623183540246,125.57180868096684,125.84001226457153,-0.8291213905375151,-0.8291213905375151,-0.8291213905375151,-0.5991036628421456,-0.5991036628421456,-0.5991036628421456,-0.23001772769536952,-0.23001772769536952,-0.23001772769536952,0.0,0.0,0.0,124.90369828024397
2972,2021-05-21,125.73767556430668,117.730121177979,132.65762124968208,125.53165852182654,125.88052756786232,-0.9128568706116816,-0.9128568706116816,-0.9128568706116816,-0.6144131474274507,-0.6144131474274507,-0.6144131474274507,-0.29844372318423096,-0.29844372318423096,-0.29844372318423096,0.0,0.0,0.0,124.82481869369501
2973,2021-05-22,125.74253145783189,119.12876292348832,134.45989739056762,125.49485925664831,125.93401898345101,1.1976473475731289,1.1976473475731289,1.1976473475731289,1.55701608825303,1.55701608825303,1.55701608825303,-0.35936874067990127,-0.35936874067990127,-0.35936874067990127,0.0,0.0,0.0,126.94017880540501
2974,2021-05-23,125.7473873513571,120.20532825941042,134.03656987071534,125.45805999147007,126.04642377361225,1.1443567121808462,1.1443567121808462,1.1443567121808462,1.5570163576358678,1.5570163576358678,1.5570163576358678,-0.41265964545502126,-0.41265964545502126,-0.41265964545502126,0.0,0.0,0.0,126.89174406353796
2975,2021-05-24,125.75224324488231,117.02266816766964,133.06638066507648,125.42126072629179,126.16510222904479,-1.1011213331277574,-1.1011213331277574,-1.1011213331277574,-0.6427764213438455,-0.6427764213438455,-0.6427764213438455,-0.45834491178391196,-0.45834491178391196,-0.45834491178391196,0.0,0.0,0.0,124.65112191175456
