,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2966,2021-05-15,0.8833519643085664,0.8296947818867844,0.9019648849099512,0.8833519643085664,0.8833519669730258,-0.016256261044607798,-0.016256261044607798,-0.016256261044607798,-0.007024477945815788,-0.007024477945815788,-0.007024477945815788,-0.009231783098792011,-0.009231783098792011,-0.009231783098792011,0.0,0.0,0.0,0.8670957032639587
2967,2021-05-16,0.8833601368846645,0.8300881061816104,0.9070925155809199,0.8833601149701757,0.8833685102007682,-0.016054860125367235,-0.016054860125367235,-0.016054860125367235,-0.007024475509317313,-0.007024475509317313,-0.007024475509317313,-0.009030384616049922,-0.009030384616049922,-0.009030384616049922,0.0,0.0,0.0,0.8673052767592973
2968,2021-05-17,0.8833683094607625,0.8388605633788834,0.9147427157256038,0.8833269159694687,0.8834399545774848,-0.005793826978991022,-0.005793826978991022,-0.005793826978991022,0.003009419218229391,0.003009419218229391,0.003009419218229391,-0.008803246197220413,-0.008803246197220413,-0.008803246197220413,0.0,0.0,0.0,0.8775744824817715
2969,2021-05-18,0.8833764820368605,0.8373849616812113,0.9162490466646009,0.8832901924142471,0.8835239036170743,-0.005610527507898284,-0.005610527507898284,-0.005610527507898284,0.0029436019160789173,0.0029436019160789173,0.0029436019160789173,-0.008554129423977201,-0.008554129423977201,-0.008554129423977201,0.0,0.0,0.0,0.8777659545289622
2970,2021-05-19,0.8833846546129585,0.8414226446537556,0.9135187064327811,0.8832532271206784,0.883655476779568,-0.0057171797559927625,-0.0057171797559927625,-0.0057171797559927625,0.002570047396278109,0.002570047396278109,0.002570047396278109,-0.008287227152270872,-0.008287227152270872,-0.008287227152270872,0.0,0.0,0.0,0.8776674748569657
2971,2021-05-20,0.8833928271890564,0.8401537368647877,0.9100339007898764,0.8832162618271099,0.8838319469952614,-0.005364531801103593,-0.005364531801103593,-0.005364531801103593,0.0026425154665587576,0.0026425154665587576,0.0026425154665587576,-0.00800704726766235,-0.00800704726766235,-0.00800704726766235,0.0,0.0,0.0,0.8780282953879528
2972,2021-05-21,0.8834009997651544,0.8414112371259014,0.9154789037839784,0.8831792965335413,0.8840175129712243,-0.00483491746479162,-0.00483491746479162,-0.00483491746479162,0.002883369457962381,0.002883369457962381,0.002883369457962381,-0.007718286922754001,-0.007718286922754001,-0.007718286922754001,0.0,0.0,0.0,0.8785660823003628
2973,2021-05-22,0.8834091723412524,0.8349988805756732,0.90838304032842,0.8830761420253105,0.8841325695945816,-0.014450178891369994,-0.014450178891369994,-0.014450178891369994,-0.007024477945781665,-0.007024477945781665,-0.007024477945781665,-0.007425700945588332,-0.007425700945588332,-0.007425700945588332,0.0,0.0,0.0,0.8689589934498824
2974,2021-05-23,0.8834173449173504,0.8322762016699113,0.9087288610337277,0.8830295593147918,0.8843723472102071,-0.014158443788029391,-0.014158443788029391,-0.014158443788029391,-0.007024475509305322,-0.007024475509305322,-0.007024475509305322,-0.007133968278724069,-0.007133968278724069,-0.007133968278724069,0.0,0.0,0.0,0.8692589011293209
2975,2021-05-24,0.8834255174934483,0.8468881666805042,0.9185273350126133,0.8829815608600566,0.8845245246834537,-0.00383814114799578,-0.00383814114799578,-0.00383814114799578,0.003009419218243481,0.003009419218243481,0.003009419218243481,-0.006847560366239261,-0.006847560366239261,-0.006847560366239261,0.0,0.0,0.0,0.8795873763454526
2976,2021-05-25,0.8834336900695463,0.8456911490159877,0.9168733229439037,0.8829038520759491,0.8846995621937385,-0.0036270134328849533,-0.0036270134328849533,-0.0036270134328849533,0.0029436019160798427,0.0029436019160798427,0.0029436019160798427,-0.006570615348964796,-0.006570615348964796,-0.006570615348964796,0.0,0.0,0.0,0.8798066766366613
2977,2021-05-26,0.8834418626456443,0.8450157339218428,0.9128084154808151,0.8828331367007496,0.8849731383320177,-0.0037367743623371815,-0.0037367743623371815,-0.0037367743623371815,0.0025700473962788355,0.0025700473962788355,0.0025700473962788355,-0.006306821758616017,-0.006306821758616017,-0.006306821758616017,0.0,0.0,0.0,0.8797050882833071
2978,2021-05-27,0.8834500352217424,0.8428555156903508,0.9186831414023722,0.8824727701351381,0.8852857493527139,-0.0034167996578250274,-0.0034167996578250274,-0.0034167996578250274,0.002642515466561734,0.002642515466561734,0.002642515466561734,-0.006059315124386761,-0.006059315124386761,-0.006059315124386761,0.0,0.0,0.0,0.8800332355639173
2979,2021-05-28,0.8834582077978403,0.8431139168011764,0.9188824737372887,0.8823934645272618,0.88559836037341,-0.002947221071375847,-0.002947221071375847,-0.002947221071375847,0.0028833694579626016,0.0028833694579626016,0.0028833694579626016,-0.005830590529338448,-0.005830590529338448,-0.005830590529338448,0.0,0.0,0.0,0.8805109867264646
2980,2021-05-29,0.8834663803739383,0.8369490754498049,0.9100198082308888,0.8823158813946986,0.8858921614458753,-0.012646911635349704,-0.012646911635349704,-0.012646911635349704,-0.007024477945793624,-0.007024477945793624,-0.007024477945793624,-0.005622433689556079,-0.005622433689556079,-0.005622433689556079,0.0,0.0,0.0,0.8708194687385886
2981,2021-05-30,0.8834745529500363,0.8314909989086593,0.9049422698462212,0.8817341759237826,0.8861120663113217,-0.012460348099740134,-0.012460348099740134,-0.012460348099740134,-0.007024475509302137,-0.007024475509302137,-0.007024475509302137,-0.005435872590437997,-0.005435872590437997,-0.005435872590437997,0.0,0.0,0.0,0.8710142048502961
