,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2966,2021-05-15,1.1863631120027787,1.108443335626903,1.2288552354648625,1.1863631120027787,1.1863631120027787,-0.01612713511353367,-0.01612713511353367,-0.01612713511353367,-0.0062570129828987955,-0.0062570129828987955,-0.0062570129828987955,-0.009870122130634875,-0.009870122130634875,-0.009870122130634875,0.0,0.0,0.0,1.170235976889245
2967,2021-05-16,1.1864711512560098,1.1115164680386735,1.231015484633885,1.1864710054657404,1.1864711512560098,-0.017347989200970085,-0.017347989200970085,-0.017347989200970085,-0.006257006168549027,-0.006257006168549027,-0.006257006168549027,-0.011090983032421058,-0.011090983032421058,-0.011090983032421058,0.0,0.0,0.0,1.1691231620550397
2968,2021-05-17,1.1865791905092409,1.1131778361201319,1.2380649011867415,1.186482630148452,1.1868716992387847,-0.009717872577365269,-0.009717872577365269,-0.009717872577365269,0.0025102430902516643,0.0025102430902516643,0.0025102430902516643,-0.012228115667616933,-0.012228115667616933,-0.012228115667616933,0.0,0.0,0.0,1.1768613179318757
2969,2021-05-18,1.186687229762472,1.1243455398748738,1.233791465899716,1.1864960316968336,1.1873335702774257,-0.01077397495570087,-0.01077397495570087,-0.01077397495570087,0.0024934161711871925,0.0024934161711871925,0.0024934161711871925,-0.01326739112688806,-0.01326739112688806,-0.01326739112688806,0.0,0.0,0.0,1.1759132548067712
2970,2021-05-19,1.186795269015703,1.115034828918292,1.2381331288653525,1.1862344316824487,1.1877954413160665,-0.011910328793590183,-0.011910328793590183,-0.011910328793590183,0.0022860729582325334,0.0022860729582325334,0.0022860729582325334,-0.014196401751822716,-0.014196401751822716,-0.014196401751822716,0.0,0.0,0.0,1.1748849402221129
2971,2021-05-20,1.1869033082689344,1.1151707323071953,1.241071215275232,1.1859625528016051,1.1882573123547078,-0.01236111979290616,-0.01236111979290616,-0.01236111979290616,0.0026435666764064933,0.0026435666764064933,0.0026435666764064933,-0.015004686469312653,-0.015004686469312653,-0.015004686469312653,0.0,0.0,0.0,1.1745421884760283
2972,2021-05-21,1.1870113475221655,1.106262111472648,1.2355587473278897,1.1855302445438205,1.1888594953798135,-0.013103195835378808,-0.013103195835378808,-0.013103195835378808,0.0025807202553488856,0.0025807202553488856,0.0025807202553488856,-0.015683916090727692,-0.015683916090727692,-0.015683916090727692,0.0,0.0,0.0,1.1739081516867866
2973,2021-05-22,1.1871193867753964,1.10354421008504,1.2273296745046087,1.1852222864966793,1.1894459862361633,-0.0224850477570332,-0.0224850477570332,-0.0224850477570332,-0.006257012982869042,-0.006257012982869042,-0.006257012982869042,-0.01622803477416416,-0.01622803477416416,-0.01622803477416416,0.0,0.0,0.0,1.164634339018363
2974,2021-05-23,1.1872274260286277,1.1017641371924998,1.229843999094111,1.184651499566977,1.1899466043908824,-0.022890361008909538,-0.022890361008909538,-0.022890361008909538,-0.006257006168538776,-0.006257006168538776,-0.006257006168538776,-0.016633354840370766,-0.016633354840370766,-0.016633354840370766,0.0,0.0,0.0,1.1643370650197182
2975,2021-05-24,1.1873354652818588,1.115120334017044,1.2343360328853805,1.1840807126372748,1.190862404264137,-0.014388360094475689,-0.014388360094475689,-0.014388360094475689,0.002510243090263536,0.002510243090263536,0.002510243090263536,-0.016898603184739226,-0.016898603184739226,-0.016898603184739226,0.0,0.0,0.0,1.1729471051873832
2976,2021-05-25,1.18744350453509,1.1141547502996794,1.234584253406607,1.1835099257075725,1.1915793457331563,-0.014531502442481749,-0.014531502442481749,-0.014531502442481749,0.0024934161711878777,0.0024934161711878777,0.0024934161711878777,-0.01702491861366963,-0.01702491861366963,-0.01702491861366963,0.0,0.0,0.0,1.1729120020926083
2977,2021-05-26,1.187551543788321,1.1156514428919038,1.234726644294619,1.1829391387778703,1.1921679321036571,-0.014729727569244736,-0.014729727569244736,-0.014729727569244736,0.0022860729582321734,0.0022860729582321734,0.0022860729582321734,-0.01701580052747691,-0.01701580052747691,-0.01701580052747691,0.0,0.0,0.0,1.1728218162190762
2978,2021-05-27,1.1876595830415522,1.111997464204716,1.2387165708566443,1.182368351848168,1.1928290002665394,-0.014233443771399483,-0.014233443771399483,-0.014233443771399483,0.0026435666764090845,0.0026435666764090845,0.0026435666764090845,-0.01687701044780857,-0.01687701044780857,-0.01687701044780857,0.0,0.0,0.0,1.1734261392701526
2979,2021-05-28,1.1877676222947833,1.1126344685979441,1.2345695068595262,1.1817975649184658,1.1934900684294214,-0.014035708664522552,-0.014035708664522552,-0.014035708664522552,0.0025807202553486705,0.0025807202553486705,0.0025807202553486705,-0.016616428919871223,-0.016616428919871223,-0.016616428919871223,0.0,0.0,0.0,1.1737319136302606
2980,2021-05-29,1.1878756615480144,1.1067994419731253,1.2225433573807123,1.1812250593359128,1.1946330352977865,-0.022500884267278465,-0.022500884267278465,-0.022500884267278465,-0.006257012982879312,-0.006257012982879312,-0.006257012982879312,-0.016243871284399154,-0.016243871284399154,-0.016243871284399154,0.0,0.0,0.0,1.165374777280736
2981,2021-05-30,1.1879837008012455,1.106985139337837,1.2280755377657668,1.1802191394236823,1.19535071998156,-0.02202787285757803,-0.02202787285757803,-0.02202787285757803,-0.006257006168535848,-0.006257006168535848,-0.006257006168535848,-0.015770866689042182,-0.015770866689042182,-0.015770866689042182,0.0,0.0,0.0,1.1659558279436675
