,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2966,2021-05-15,0.8833519643085664,0.830548436782776,0.9028360515311172,0.8833419729913524,0.8833519643085664,-0.016256261044607798,-0.016256261044607798,-0.016256261044607798,-0.007024477945815788,-0.007024477945815788,-0.007024477945815788,-0.009231783098792011,-0.009231783098792011,-0.009231783098792011,0.0,0.0,0.0,0.8670957032639587
2967,2021-05-16,0.8833601368846645,0.8299968258989306,0.9037028458620243,0.8832883651591911,0.8834150681820105,-0.016054860125367235,-0.016054860125367235,-0.016054860125367235,-0.007024475509317313,-0.007024475509317313,-0.007024475509317313,-0.009030384616049922,-0.009030384616049922,-0.009030384616049922,0.0,0.0,0.0,0.8673052767592973
2968,2021-05-17,0.8833683094607625,0.8403508937350865,0.9147246028445927,0.8832347282922051,0.8834630811964637,-0.005793826978991022,-0.005793826978991022,-0.005793826978991022,0.003009419218229391,0.003009419218229391,0.003009419218229391,-0.008803246197220413,-0.008803246197220413,-0.008803246197220413,0.0,0.0,0.0,0.8775744824817715
2969,2021-05-18,0.8833764820368605,0.8420307637248973,0.9141411276155965,0.8831811667879784,0.8835496690761585,-0.005610527507898284,-0.005610527507898284,-0.005610527507898284,0.0029436019160789173,0.0029436019160789173,0.0029436019160789173,-0.008554129423977201,-0.008554129423977201,-0.008554129423977201,0.0,0.0,0.0,0.8777659545289622
2970,2021-05-19,0.8833846546129585,0.838763564421909,0.9180142324516836,0.8830848806924477,0.8837571805483393,-0.0057171797559927625,-0.0057171797559927625,-0.0057171797559927625,0.002570047396278109,0.002570047396278109,0.002570047396278109,-0.008287227152270872,-0.008287227152270872,-0.008287227152270872,0.0,0.0,0.0,0.8776674748569657
2971,2021-05-20,0.8833928271890564,0.8397043432769147,0.9176608290762465,0.8829680595369994,0.8840586180813526,-0.005364531801103593,-0.005364531801103593,-0.005364531801103593,0.0026425154665587576,0.0026425154665587576,0.0026425154665587576,-0.00800704726766235,-0.00800704726766235,-0.00800704726766235,0.0,0.0,0.0,0.8780282953879528
2972,2021-05-21,0.8834009997651544,0.8387641372868611,0.9137948033622596,0.8828987810633745,0.8842657190748934,-0.00483491746479162,-0.00483491746479162,-0.00483491746479162,0.002883369457962381,0.002883369457962381,0.002883369457962381,-0.007718286922754001,-0.007718286922754001,-0.007718286922754001,0.0,0.0,0.0,0.8785660823003628
2973,2021-05-22,0.8834091723412524,0.8314952580400878,0.9057778904130551,0.8827456554087971,0.884403757962802,-0.014450178891369994,-0.014450178891369994,-0.014450178891369994,-0.007024477945781665,-0.007024477945781665,-0.007024477945781665,-0.007425700945588332,-0.007425700945588332,-0.007425700945588332,0.0,0.0,0.0,0.8689589934498824
2974,2021-05-23,0.8834173449173504,0.8296529634511127,0.9100254354408341,0.8825763085804917,0.8845417968507108,-0.014158443788029391,-0.014158443788029391,-0.014158443788029391,-0.007024475509305322,-0.007024475509305322,-0.007024475509305322,-0.007133968278724069,-0.007133968278724069,-0.007133968278724069,0.0,0.0,0.0,0.8692589011293209
2975,2021-05-24,0.8834255174934483,0.8437056101569712,0.9180321095236649,0.8824017105911155,0.8848016007280337,-0.00383814114799578,-0.00383814114799578,-0.00383814114799578,0.003009419218243481,0.003009419218243481,0.003009419218243481,-0.006847560366239261,-0.006847560366239261,-0.006847560366239261,0.0,0.0,0.0,0.8795873763454526
2976,2021-05-25,0.8834336900695463,0.8448915067135138,0.9150465175191501,0.8822820850864396,0.8850280473413418,-0.0036270134328849533,-0.0036270134328849533,-0.0036270134328849533,0.0029436019160798427,0.0029436019160798427,0.0029436019160798427,-0.006570615348964796,-0.006570615348964796,-0.006570615348964796,0.0,0.0,0.0,0.8798066766366613
2977,2021-05-26,0.8834418626456443,0.8459179748025984,0.9166038779247846,0.8821732003701868,0.8852038700868231,-0.0037367743623371815,-0.0037367743623371815,-0.0037367743623371815,0.0025700473962788355,0.0025700473962788355,0.0025700473962788355,-0.006306821758616017,-0.006306821758616017,-0.006306821758616017,0.0,0.0,0.0,0.8797050882833071
2978,2021-05-27,0.8834500352217424,0.8456926230964253,0.9178949359262327,0.8820643156539342,0.8853793086922186,-0.0034167996578250274,-0.0034167996578250274,-0.0034167996578250274,0.002642515466561734,0.002642515466561734,0.002642515466561734,-0.006059315124386761,-0.006059315124386761,-0.006059315124386761,0.0,0.0,0.0,0.8800332355639173
2979,2021-05-28,0.8834582077978403,0.844167772575539,0.9169999014760973,0.8819554309376814,0.885554747297614,-0.002947221071375847,-0.002947221071375847,-0.002947221071375847,0.0028833694579626016,0.0028833694579626016,0.0028833694579626016,-0.005830590529338448,-0.005830590529338448,-0.005830590529338448,0.0,0.0,0.0,0.8805109867264646
2980,2021-05-29,0.8834663803739383,0.8336459855443331,0.9077168617154249,0.8818465462214287,0.8858236842206738,-0.012646911635349704,-0.012646911635349704,-0.012646911635349704,-0.007024477945793624,-0.007024477945793624,-0.007024477945793624,-0.005622433689556079,-0.005622433689556079,-0.005622433689556079,0.0,0.0,0.0,0.8708194687385886
2981,2021-05-30,0.8834745529500363,0.8316989749658593,0.9092601055745934,0.881737707705321,0.8861762164389855,-0.012460348099740134,-0.012460348099740134,-0.012460348099740134,-0.007024475509302137,-0.007024475509302137,-0.007024475509302137,-0.005435872590437997,-0.005435872590437997,-0.005435872590437997,0.0,0.0,0.0,0.8710142048502961
