,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2966,2021-05-15,1.1863631120027787,1.113995572879365,1.2358246032432794,1.1863631120027787,1.1863631120027787,-0.01612713511353367,-0.01612713511353367,-0.01612713511353367,-0.0062570129828987955,-0.0062570129828987955,-0.0062570129828987955,-0.009870122130634875,-0.009870122130634875,-0.009870122130634875,0.0,0.0,0.0,1.170235976889245
2967,2021-05-16,1.1864711512560098,1.1095022291687315,1.2272984591221936,1.1864711512560098,1.1866145180263654,-0.017347989200970085,-0.017347989200970085,-0.017347989200970085,-0.006257006168549027,-0.006257006168549027,-0.006257006168549027,-0.011090983032421058,-0.011090983032421058,-0.011090983032421058,0.0,0.0,0.0,1.1691231620550397
2968,2021-05-17,1.1865791905092409,1.1187396794508033,1.2375813268773124,1.1865791905092409,1.1868741052464782,-0.009717872577365269,-0.009717872577365269,-0.009717872577365269,0.0025102430902516643,0.0025102430902516643,0.0025102430902516643,-0.012228115667616933,-0.012228115667616933,-0.012228115667616933,0.0,0.0,0.0,1.1768613179318757
2969,2021-05-18,1.186687229762472,1.1100591005741207,1.236172030704611,1.18668647498584,1.1871181491524847,-0.01077397495570087,-0.01077397495570087,-0.01077397495570087,0.0024934161711871925,0.0024934161711871925,0.0024934161711871925,-0.01326739112688806,-0.01326739112688806,-0.01326739112688806,0.0,0.0,0.0,1.1759132548067712
2970,2021-05-19,1.186795269015703,1.115925169320722,1.2352073609349667,1.1867940982290428,1.1876385997459373,-0.011910328793590183,-0.011910328793590183,-0.011910328793590183,0.0022860729582325334,0.0022860729582325334,0.0022860729582325334,-0.014196401751822716,-0.014196401751822716,-0.014196401751822716,0.0,0.0,0.0,1.1748849402221129
2971,2021-05-20,1.1869033082689344,1.1118272611940414,1.2340278508858127,1.186701970947445,1.1880299950792885,-0.01236111979290616,-0.01236111979290616,-0.01236111979290616,0.0026435666764064933,0.0026435666764064933,0.0026435666764064933,-0.015004686469312653,-0.015004686469312653,-0.015004686469312653,0.0,0.0,0.0,1.1745421884760283
2972,2021-05-21,1.1870113475221655,1.1095562365987348,1.2373062438062035,1.186515854573842,1.1885209274159905,-0.013103195835378808,-0.013103195835378808,-0.013103195835378808,0.0025807202553488856,0.0025807202553488856,0.0025807202553488856,-0.015683916090727692,-0.015683916090727692,-0.015683916090727692,0.0,0.0,0.0,1.1739081516867866
2973,2021-05-22,1.1871193867753964,1.1008049942758227,1.2226927107916943,1.186131384139499,1.1890501781073486,-0.0224850477570332,-0.0224850477570332,-0.0224850477570332,-0.006257012982869042,-0.006257012982869042,-0.006257012982869042,-0.01622803477416416,-0.01622803477416416,-0.01622803477416416,0.0,0.0,0.0,1.164634339018363
2974,2021-05-23,1.1872274260286277,1.1016898194371816,1.2335452328658225,1.1859796389723076,1.1895794287987065,-0.022890361008909538,-0.022890361008909538,-0.022890361008909538,-0.006257006168538776,-0.006257006168538776,-0.006257006168538776,-0.016633354840370766,-0.016633354840370766,-0.016633354840370766,0.0,0.0,0.0,1.1643370650197182
2975,2021-05-24,1.1873354652818588,1.112323842413368,1.2348181015218094,1.1857097541936188,1.1903463986136473,-0.014388360094475689,-0.014388360094475689,-0.014388360094475689,0.002510243090263536,0.002510243090263536,0.002510243090263536,-0.016898603184739226,-0.016898603184739226,-0.016898603184739226,0.0,0.0,0.0,1.1729471051873832
