,forecast,error,forecast_lower,forecast_upper
0,1.4624023780393434,0.01004426805060706,1.4523581099887364,1.4724466460899504
1,1.4653996556981217,0.012808333547741389,1.4525913221503803,1.478207989245863
2,1.461089933740713,0.015343264542294389,1.4457466691984187,1.4764331982830075
3,1.46348636362434,0.0176680557434463,1.4458183078808937,1.4811544193677864
4,1.4606716026547466,0.01980012724384088,1.4408714754109058,1.4804717298985874
5,1.4624828611123117,0.021755455051577947,1.4407274060607338,1.4842383161638897
6,1.460603624761865,0.023548690801411983,1.437054933960453,1.484152315563277
7,1.461931390573048,0.02519327154217504,1.436738119030873,1.487124662115223
8,1.4606570681780733,0.026701520423081576,1.4339555477549917,1.4873585886011549
9,1.4616132559868311,0.02808473903337634,1.4335285169534548,1.4896979950202074
10,1.460739861255002,0.029353292087243542,1.4313865691677585,1.4900931533422455
11,1.4614211014757652,0.03051668508853701,1.4309044163872282,1.4919377865643022
12,1.4608181959680464,0.03158363555728762,1.4292345604107588,1.492401831525334
13,1.4613003359980201,0.03256213835170144,1.4287381976463187,1.4938624743497215
14,1.4608821771820288,0.03345952557511852,1.4274226516069104,1.4943417027571473
15,1.4612219882321424,0.03428252151682622,1.4269394667153161,1.4955045097489688
16,1.4609310661066228,0.03503729303840886,1.425893773068214,1.4959683591450317
17,1.461169933923613,0.03572949578318802,1.425440438140425,1.496899429706801
18,1.4609671256690864,0.036364316555009296,1.424602809114077,1.4973314422240958
19,1.4611347549677807,0.03694651218392771,1.424188242783853,1.4980812671517083
20,1.4609931886652219,0.037480445170019625,1.4235127434952022,1.4984736338352416
21,1.4611106994038776,0.037970116372406784,1.4231405830314707,1.4990808157762845
22,1.4610117987507691,0.03841919498843747,1.4225926037623318,1.4994309937392065
23,1.4610941192280795,0.03883104604766431,1.4222630731804151,1.499925165275744
24,1.4610249880972703,0.039208755626636296,1.421816232470634,1.5002337437239066
25,1.4610826312471397,0.03955515397344404,1.4215274772736957,1.5006377852205837
26,1.4610342920330035,0.03987283671529486,1.4211614553177085,1.5009071287482985
27,1.4610746440598175,0.04016418430802995,1.4209104597517874,1.5012388283678475
28,1.4610408357924851,0.04043137987332255,1.4206094559191627,1.5014722156658076
29,1.4610690783875584,0.04067642555721447,1.4203926528303439,1.501745503944773
30,1.4610454296006885,0.04090115753256855,1.4201442720681199,1.5019465871332571
31,1.4610651944502502,0.0411072597578533,1.419957934692397,1.5021724542081034
32,1.4610486506577822,0.04129627659535672,1.4197523740624256,1.5023449272531388
33,1.4610624815471447,0.041469624383380047,1.4195928571637646,1.5025321059305248
34,1.4610509074493598,0.04162860204912389,1.419422305400236,1.5026795094984837
35,1.4610605854566543,0.04177440084179128,1.419286184614863,1.5028349862984456
36,1.461052487865564,0.041908113258839336,1.4191443746067247,1.5029606011244032
37,1.4610592597330538,0.04203074123226584,1.419028518500788,1.5030900009653196
38,1.4610535942725522,0.042143203636271956,1.4189103906362803,1.503196797908824
39,1.461058332570809,0.0422463431725574,1.4188119893982516,1.5033046757433666
40,1.4610543686821158,0.04234093268484097,1.4187134359972748,1.5033953013669568
41,1.4610576840432095,0.0424276809499222,1.4186300030932872,1.5034853649931317
42,1.4610549106458768,0.04250723798867764,1.418547672657199,1.5035621486345545
43,1.4610572303668308,0.042580199936788174,1.4184770304300427,1.5036374303036188
44,1.46105528990293,0.04264711351169445,1.4184081763912357,1.5037024034146245
45,1.4610569129771678,0.042708480109252336,1.4183484328679155,1.50376539308642
46,1.4610555552864115,0.04276475956078524,1.4182907957256263,1.5038203148471967
47,1.4610566909234939,0.04281637357868572,1.4182403173448082,1.5038730645021796
48,1.4610557409809832,0.04286370891638484,1.4181920320645984,1.503919449897368
49,1.4610565355649716,0.04290712026636752,1.418149415298604,1.5039636558313392
50,1.4610558709126351,0.04294693291794924,1.4181089379946858,1.5040028038305844
51,1.4610564268673936,0.042983445194729394,1.4180729816726643,1.5040398720621229
52,1.4610559618253367,0.04301693068998545,1.4180390311353512,1.5040728925153222
53,1.4610563508155792,0.04304764031675824,1.4180087104988208,1.5041039911323375
54,1.4610560254360432,0.04307580418799002,1.4179802212480532,1.5041318296240331
55,1.4610562976044523,0.04310163334080354,1.4179546642636487,1.504157930945256
56,1.4610560699435573,0.0431253213178424,1.4179307486257149,1.5041813912613997
57,1.461056260374081,0.0431470456175221,1.417909214756559,1.5042033059916031
58,1.46105610108472,0.04316696902405863,1.4178891320606615,1.5042230701087786
59,1.4610562343249298,0.0431852408272409,1.417870993497689,1.5042414751521707
60,1.461056122873618,0.04320199794108684,1.4178541249325312,1.504258120814705
61,1.4610562160989606,0.043217365929765605,1.417838850169195,1.5042735820287263
62,1.4610561381188851,0.04323145994847324,1.4178246781704118,1.5042875980673585
63,1.4610562033466694,0.04324438560631197,1.4178118177403574,1.5043005889529815
64,1.4610561487856906,0.04325623975763883,1.4177999090280518,1.5043123885433294
65,1.4610561944241773,0.043267111227813376,1.417789083196364,1.5043233056519907
66,1.4610561562490343,0.043277081478782606,1.4177790747702517,1.504333237727817
67,1.4610561881813067,0.04328622521949048,1.4177699629618161,1.5043424134007972
68,1.4610561614709794,0.04329461096568592,1.4177615505052934,1.5043507724366654
69,1.4610561838133065,0.043302301553324055,1.4177538822599824,1.5043584853666305
70,1.4610561651246643,0.04330935460940773,1.4177468105152566,1.504365519734072
71,1.4610561807571116,0.043315822983797325,1.4177403577733143,1.504372003740909
72,1.46105616768107,0.0433217551452246,1.4177344125358455,1.5043779228262946
73,1.4610561786187581,0.0433271955444779,1.4177289830742803,1.504383374163236
