,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2966,2021-05-15,1.5366272919674966,1.4619835681980735,1.61251263541358,1.5366272919674966,1.5366337679198097,-0.0031481717440154447,-0.0031481717440154447,-0.0031481717440154447,0.00536156075011636,0.00536156075011636,0.00536156075011636,-0.008509732494131804,-0.008509732494131804,-0.008509732494131804,0.0,0.0,0.0,1.5334791202234812
2967,2021-05-16,1.5366880341481781,1.4586640368758728,1.6004764833560867,1.5366876726654883,1.5369661144738667,-0.0031790563415224848,-0.0031790563415224848,-0.0031790563415224848,0.005361563553647054,0.005361563553647054,0.005361563553647054,-0.008540619895169538,-0.008540619895169538,-0.008540619895169538,0.0,0.0,0.0,1.5335089778066557
2968,2021-05-17,1.5367487763288599,1.4583765807743705,1.5968971664615463,1.5365809190365936,1.5372810327491617,-0.010408537769643407,-0.010408537769643407,-0.010408537769643407,-0.0018915950871363969,-0.0018915950871363969,-0.0018915950871363969,-0.00851694268250701,-0.00851694268250701,-0.00851694268250701,0.0,0.0,0.0,1.5263402385592164
2969,2021-05-18,1.5368095185095416,1.4570729982437827,1.5997126343364168,1.5365023121972492,1.5379028884333468,-0.010460126992614486,-0.010460126992614486,-0.010460126992614486,-0.0020221672367792165,-0.0020221672367792165,-0.0020221672367792165,-0.00843795975583527,-0.00843795975583527,-0.00843795975583527,0.0,0.0,0.0,1.526349391516927
2970,2021-05-19,1.5368702606902231,1.4600719219635283,1.6013799264008264,1.5363323285015285,1.5386411443960746,-0.010831736715281131,-0.010831736715281131,-0.010831736715281131,-0.0025276056478947813,-0.0025276056478947813,-0.0025276056478947813,-0.00830413106738635,-0.00830413106738635,-0.00830413106738635,0.0,0.0,0.0,1.526038523974942
2971,2021-05-20,1.536931002870905,1.45150651214294,1.598861829538246,1.5361097485542896,1.5392478340837759,-0.010436423137673527,-0.010436423137673527,-0.010436423137673527,-0.0023193288407798167,-0.0023193288407798167,-0.0023193288407798167,-0.008117094296893711,-0.008117094296893711,-0.008117094296893711,0.0,0.0,0.0,1.5264945797332314
2972,2021-05-21,1.5369917450515866,1.45698390275907,1.5966879115324366,1.5358573475741046,1.5398545237714776,-0.009842041344413934,-0.009842041344413934,-0.009842041344413934,-0.001962427491156386,-0.001962427491156386,-0.001962427491156386,-0.007879613853257549,-0.007879613853257549,-0.007879613853257549,0.0,0.0,0.0,1.5271497037071726
2973,2021-05-22,1.5370524872322682,1.4629870776157767,1.602318456048069,1.53527882993081,1.5404612134591789,-0.002233943342527222,-0.002233943342527222,-0.002233943342527222,0.0053615607500912725,0.0053615607500912725,0.0053615607500912725,-0.007595504092618495,-0.007595504092618495,-0.007595504092618495,0.0,0.0,0.0,1.534818543889741
2974,2021-05-23,1.53711322941295,1.4612937202899885,1.6075805781514472,1.5347685245854827,1.5410677374786663,-0.0019079656959745085,-0.0019079656959745085,-0.0019079656959745085,0.005361563553638054,0.005361563553638054,0.005361563553638054,-0.007269529249612563,-0.007269529249612563,-0.007269529249612563,0.0,0.0,0.0,1.5352052637169755
2975,2021-05-24,1.5371739715936314,1.457101477036014,1.6018520296465726,1.5342125789451886,1.5416742207177432,-0.00879887819603314,-0.00879887819603314,-0.00879887819603314,-0.0018915950871469646,-0.0018915950871469646,-0.0018915950871469646,-0.0069072831088861746,-0.0069072831088861746,-0.0069072831088861746,0.0,0.0,0.0,1.5283750933975984
2976,2021-05-25,1.537234713774313,1.455493803669953,1.596978967068995,1.5336566333048942,1.5422807039568205,-0.008537219121816717,-0.008537219121816717,-0.008537219121816717,-0.002022167236780404,-0.002022167236780404,-0.002022167236780404,-0.0065150518850363125,-0.0065150518850363125,-0.0065150518850363125,0.0,0.0,0.0,1.5286974946524963
2977,2021-05-26,1.5372954559549947,1.4591336338680596,1.6044761639934293,1.533325270055226,1.5428871871958976,-0.008627269768982095,-0.008627269768982095,-0.008627269768982095,-0.00252760564789405,-0.00252760564789405,-0.00252760564789405,-0.0060996641210880435,-0.0060996641210880435,-0.0060996641210880435,0.0,0.0,0.0,1.5286681861860125
2978,2021-05-27,1.5373561981356765,1.461983906606122,1.5978517311953582,1.5330088886124815,1.5434936704349744,-0.007987660492138882,-0.007987660492138882,-0.007987660492138882,-0.002319328840781653,-0.002319328840781653,-0.002319328840781653,-0.005668331651357232,-0.005668331651357232,-0.005668331651357232,0.0,0.0,0.0,1.5293685376435375
2979,2021-05-28,1.537416940316358,1.4560146906083926,1.5977934804809617,1.532692507169737,1.5441001536740515,-0.007190913291047226,-0.007190913291047226,-0.007190913291047226,-0.0019624274911566424,-0.0019624274911566424,-0.0019624274911566424,-0.005228485799890583,-0.005228485799890583,-0.005228485799890583,0.0,0.0,0.0,1.5302260270253107
2980,2021-05-29,1.5374776824970398,1.4684831409466927,1.6129961449137562,1.532376125726992,1.5447066369131284,0.0005739477508887936,0.0005739477508887936,0.0005739477508887936,0.005361560750100306,0.005361560750100306,0.005361560750100306,-0.004787612999211513,-0.004787612999211513,-0.004787612999211513,0.0,0.0,0.0,1.5380516302479286
2981,2021-05-30,1.5375384246777215,1.4715704856213112,1.6111372581529202,1.5320597442842476,1.545313120152206,0.001008469635738638,0.001008469635738638,0.001008469635738638,0.005361563553635921,0.005361563553635921,0.005361563553635921,-0.004353093917897283,-0.004353093917897283,-0.004353093917897283,0.0,0.0,0.0,1.5385468943134601
2982,2021-05-31,1.537599166858403,1.459862174374593,1.5993851296849735,1.5317433628415031,1.5459196033912828,-0.005823645071140549,-0.005823645071140549,-0.005823645071140549,-0.001891595087146654,-0.001891595087146654,-0.001891595087146654,-0.003932049983993895,-0.003932049983993895,-0.003932049983993895,0.0,0.0,0.0,1.5317755217872624
2983,2021-06-01,1.5376599090390848,1.4550372471008963,1.6024473030362985,1.5313708454619408,1.5466499116489423,-0.0055533681286300965,-0.0055533681286300965,-0.0055533681286300965,-0.002022167236784597,-0.002022167236784597,-0.002022167236784597,-0.0035312008918454998,-0.0035312008918454998,-0.0035312008918454998,0.0,0.0,0.0,1.5321065409104546
2984,2021-06-02,1.5377206512197663,1.459592499882841,1.6084736606985248,1.530979891113254,1.5476104905441288,-0.005684341940627434,-0.005684341940627434,-0.005684341940627434,-0.0025276056478941693,-0.0025276056478941693,-0.0025276056478941693,-0.0031567362927332645,-0.0031567362927332645,-0.0031567362927332645,0.0,0.0,0.0,1.532036309279139
2985,2021-06-03,1.5377813934004478,1.4643089965214364,1.6056675830310652,1.5305889367645666,1.5485710694393156,-0.005133533247252215,-0.005133533247252215,-0.005133533247252215,-0.0023193288407802803,-0.0023193288407802803,-0.0023193288407802803,-0.002814204406471935,-0.002814204406471935,-0.002814204406471935,0.0,0.0,0.0,1.5326478601531957
2986,2021-06-04,1.5378421355811296,1.4616279824381277,1.6116004386485356,1.5301983970213975,1.549477314601889,-0.004470847257302243,-0.004470847257302243,-0.004470847257302243,-0.0019624274911456403,-0.0019624274911456403,-0.0019624274911456403,-0.0025084197661566026,-0.0025084197661566026,-0.0025084197661566026,0.0,0.0,0.0,1.5333712883238273
2987,2021-06-05,1.5379028777618113,1.4614416518387727,1.6113087989471828,1.5298081410482827,1.5501373057995302,0.003118169013396909,0.003118169013396909,0.003118169013396909,0.00536156075010934,0.00536156075010934,0.00536156075010934,-0.002243391736712431,-0.002243391736712431,-0.002243391736712431,0.0,0.0,0.0,1.5410210467752083
2988,2021-06-06,1.5379636199424929,1.4728098998794945,1.6121137578020885,1.5294178850751678,1.5507962553224925,0.0033392887073351225,0.0033392887073351225,0.0033392887073351225,0.005361563553654145,0.005361563553654145,0.005361563553654145,-0.0020222748463190224,-0.0020222748463190224,-0.0020222748463190224,0.0,0.0,0.0,1.541302908649828
2989,2021-06-07,1.5380243621231746,1.4622108151713888,1.6090635273225302,1.5286781039820998,1.5514531819043202,-0.0037389364422148567,-0.0037389364422148567,-0.0037389364422148567,-0.0018915950871517821,-0.0018915950871517821,-0.0018915950871517821,-0.001847341355063074,-0.001847341355063074,-0.001847341355063074,0.0,0.0,0.0,1.5342854256809597
2990,2021-06-08,1.5380851043038561,1.4538340390131208,1.600781717858757,1.5276702309874957,1.5519469535604806,-0.003742143111255268,-0.003742143111255268,-0.003742143111255268,-0.0020221672367828503,-0.0020221672367828503,-0.0020221672367828503,-0.0017199758744724178,-0.0017199758744724178,-0.0017199758744724178,0.0,0.0,0.0,1.534342961192601
2991,2021-06-09,1.538145846484538,1.458852295017882,1.6021717286749069,1.5266623579928909,1.5522976739088106,-0.004168296909258759,-0.004168296909258759,-0.004168296909258759,-0.0025276056478944426,-0.0025276056478944426,-0.0025276056478944426,-0.0016406912613643162,-0.0016406912613643162,-0.0016406912613643162,0.0,0.0,0.0,1.5339775495752792
2992,2021-06-10,1.5382065886652196,1.4596490870857304,1.6030254889912916,1.5256631480405547,1.5526483942571412,-0.003928493296664433,-0.003928493296664433,-0.003928493296664433,-0.0023193288407853258,-0.0023193288407853258,-0.0023193288407853258,-0.0016091644558791076,-0.0016091644558791076,-0.0016091644558791076,0.0,0.0,0.0,1.5342780953685553
2993,2021-06-11,1.5382673308459014,1.4660868188031115,1.5975507815507308,1.525242700797814,1.5529991146054714,-0.0035867179220262085,-0.0035867179220262085,-0.0035867179220262085,-0.001962427491145896,-0.001962427491145896,-0.001962427491145896,-0.0016242904308803128,-0.0016242904308803128,-0.0016242904308803128,0.0,0.0,0.0,1.5346806129238753
2994,2021-06-12,1.538328073026583,1.4733283777482988,1.614487577224967,1.524822253555073,1.5533498349538017,0.003677308768744398,0.003677308768744398,0.003677308768744398,0.005361560750104503,0.005361560750104503,0.005361560750104503,-0.0016842519813601048,-0.0016842519813601048,-0.0016842519813601048,0.0,0.0,0.0,1.5420053817953274
2995,2021-06-13,1.5383888152072644,1.4715622873409329,1.6136497209821583,1.5244040504695808,1.5538038854992848,0.0035749608347345188,0.0035749608347345188,0.0035749608347345188,0.005361563553652011,0.005361563553652011,0.005361563553652011,-0.0017866027189174924,-0.0017866027189174924,-0.0017866027189174924,0.0,0.0,0.0,1.5419637760419989
